EventID,NETSTATIONID,LATITUDE,LONGITUDE,MAGNITUDE
2467160,CI.SLA,34.55,-117.43,5.19462860212
4219627,UU.SPS,40.86,-112.18,8.39559403233
2717538,CI.GMR,34.55,-117.43,3.18398209217
4220042,II.IASL,34.95,-106.46,4.35210479652
3327016,EM.MBB03,36.34,-90.33,-0.701444792811
4309440,UU.PGC,40.86,-112.18,5.74093266967
2867472,US.SDCO,40.43,-117.22,4.13970726295
2872448,II.PFO,34.95,-106.46,6.82022861516
2872453,IU.TUC,34.95,-106.46,7.0255636593
2627754,CI.HEC,34.55,-117.43,4.06334677681
2860676,CI.TIN,34.55,-117.43,4.65389063955
4219627,UU.LTU,40.86,-112.18,6.75121591043
4370421,CI.BFS,34.55,-117.43,5.36204458843
5153205,TA.SUSD,27.06,-98.68,8.14765157219
2839339,IM.NV01,33.61,-116.46,3.55675569988
3378098,CI.PLM,34.55,-117.43,6.46629264088
2848753,CI.SVD,34.55,-117.43,5.9786910199
2872509,AZ.CSLB,33.62,-116.47,5.66597927026
4723373,UU.BSS,40.86,-112.18,8.43231215015
4808099,AZ.PFO,33.62,-116.47,3.50720735207
2737919,AZ.LVA2,33.62,-116.47,5.50169654859
4723373,CI.DGR,34.55,-117.43,5.50742535347
4099263,CI.MPM,35.27,-116.07,7.69184923733
2849556,AZ.SND,33.62,-116.47,3.12983688874
4808150,CI.CWC,34.55,-117.43,5.74036491191
4489156,AZ.SMER,33.62,-116.47,4.20743896918
4370421,UU.TCRU,40.45,-111.78,6.64863820263
3331920,CI.CHF,34.55,-117.43,5.63992758712
2879811,AZ.CPE,33.62,-116.47,3.77154828928
2838203,CI.TIN,34.55,-117.43,4.23456322127
3986528,AZ.CSLB,33.62,-116.47,4.2438827643
3325003,TA.X40A,27.06,-98.68,7.36533828457
4723373,AZ.CSLB,33.62,-116.47,7.61555874494
4598714,UU.REUT,40.86,-112.18,6.16802095954
4723373,IU.ANMO,34.95,-106.46,5.3159430214
4311232,AZ.MONP2,33.62,-116.47,3.21093040202
4309440,UU.NAIU,40.86,-112.18,4.17815406599
2847838,CI.GMR,34.55,-117.43,5.97510627307
3339727,US.KVTX,34.88,-101.68,5.47275945336
4598534,BK.CMB,40.88,-124.08,5.79300475823
2796754,TA.Q24A,48.98,-117.56,7.8544976562
4808099,IM.I57H3,33.61,-116.46,8.03225890639
3179908,CI.VES,34.55,-117.43,3.90246518815
4723373,UU.PTU,40.86,-112.18,7.61156968908
3378039,CI.PHL,34.55,-117.43,nan
3180025,CI.GMR,34.55,-117.43,5.14661498436
2847934,CI.GRA,34.55,-117.43,3.12949983773
3282422,CI.TIN,35.27,-116.07,7.60854361162
3331920,AZ.CRY,33.62,-116.47,3.88528511946
4819913,UU.WRP,40.86,-112.18,6.61150796214
4808099,IM.NV06,33.61,-116.46,3.19948125732
4370421,AZ.TRO,33.62,-116.47,3.67107239886
4808109,II.PFO,34.95,-106.46,5.69725061342
2849017,UO.DBO,44.20,-122.99,5.01961857947
5004733,UU.TCVU,40.86,-112.18,7.30034115318
4489138,CI.LRL,34.55,-117.43,4.03921884716
2839918,AZ.SCI2,33.62,-116.47,4.97760237539
3986551,IM.NV31,33.61,-116.46,3.7769969376
4808151,UU.WMUT,39.82,-110.54,7.8983028278
2872453,CI.SDD,34.55,-117.43,6.37652640241
2847839,CI.PLM,34.55,-117.43,4.40691751869
2847927,CI.VCS,34.55,-117.43,4.6790317477
2872509,CI.SBC,34.55,-117.43,5.15466103763
2842558,CI.GSC,34.55,-117.43,nan
2848499,IM.NV07,33.61,-116.46,2.59254137879
4598714,IM.NV05,48.26,-117.13,3.30853202204
3278325,BK.CMB,37.82,-122.33,5.82064193567
4309875,US.HAWA,42.77,-111.10,2.03832878945
3988542,AZ.BZN,33.62,-116.47,3.80031446723
5153819,US.KSU1,34.88,-101.68,4.35944112243
2860676,IU.ANMO,34.95,-106.46,4.87963791175
2847839,AZ.SMER,33.62,-116.47,4.19969123965
3337572,TA.121A,32.89,-117.11,7.32481867246
3331920,IM.NV08,33.61,-116.46,3.08955700171
4598714,IM.NV03,48.26,-117.13,3.19146768215
2718229,IU.TUC,34.95,-106.46,7.39706323367
3276647,AZ.SMER,33.62,-116.47,3.25088079488
2713283,CI.ADO,34.55,-117.43,4.62944278219
3378038,CI.BAK,34.55,-117.43,4.97055083361
2850748,AZ.FRD,33.62,-116.47,3.08801167028
2718229,IU.ANMO,34.95,-106.46,5.28266276945
2838410,IM.NV07,33.61,-116.46,2.44049803289
2847824,CI.VTV,34.55,-117.43,6.815679229
3331920,IM.NV07,33.61,-116.46,2.86079759511
4370421,CI.VCS,34.55,-117.43,5.923740451
5114609,UU.KNB,40.86,-112.18,5.72548510173
4926955,US.WUAZ,48.30,-95.86,5.60430041478
2863451,TA.109C,32.89,-117.11,3.38069369599
2850747,IM.NV09,33.61,-116.46,2.15206593581
3414168,AZ.MTRP,33.62,-116.47,4.94723783578
3337573,IU.ANMO,34.95,-106.46,8.02307624017
2848499,IM.NV04,33.61,-116.46,2.58395367468
5165604,XU.GRES,40.44,-104.67,5.76553772646
3337577,CI.BBR,34.55,-117.43,6.95256571131
3986551,IM.NV09,33.61,-116.46,3.15846469846
2848606,IU.TUC,34.95,-106.46,5.30154351566
2848745,US.HWUT,40.43,-117.22,4.4929320304
3378051,BK.SAO,37.82,-122.33,4.99993277694
2737015,CI.PASC,34.55,-117.43,nan
2839368,CI.SWS,34.55,-117.43,5.96294053122
4723373,IM.NV04,33.61,-116.46,4.17583956454
4489156,CI.OSI,34.55,-117.43,nan
2849931,TA.R11A,32.89,-117.11,4.05043516999
4558126,CI.FUR,36.47,-116.86,5.67306962134
5153205,UU.BCE,39.61,-110.41,8.05981987321
2719048,CI.DJJ,34.55,-117.43,3.24663079594
2863450,IU.COR,44.59,-123.30,7.34608383749
4558126,UU.ICF,40.86,-112.18,5.82470138711
2847839,IU.TUC,34.95,-106.46,6.16026508135
4311232,IU.ANMO,34.95,-106.46,5.9788414337
2849931,CI.PASC,34.55,-117.43,2.68629680692
5004733,UU.CCPU,40.86,-112.18,8.62042706323
2879810,CI.BEL,34.55,-117.43,4.61689475904
